,face_number,face_bbox,landmark_pos,x,y
0,face_1,"[(51, 51) (176, 176)]",0,66,66
1,face_1,"[(51, 51) (176, 176)]",1,67,67
2,face_1,"[(51, 51) (176, 176)]",2,69,69
3,face_1,"[(51, 51) (176, 176)]",3,72,72
4,face_1,"[(51, 51) (176, 176)]",4,76,76
5,face_1,"[(51, 51) (176, 176)]",5,83,83
6,face_1,"[(51, 51) (176, 176)]",6,94,94
7,face_1,"[(51, 51) (176, 176)]",7,105,105
8,face_1,"[(51, 51) (176, 176)]",8,119,119
9,face_1,"[(51, 51) (176, 176)]",9,132,132
10,face_1,"[(51, 51) (176, 176)]",10,145,145
11,face_1,"[(51, 51) (176, 176)]",11,155,155
12,face_1,"[(51, 51) (176, 176)]",12,163,163
13,face_1,"[(51, 51) (176, 176)]",13,168,168
14,face_1,"[(51, 51) (176, 176)]",14,170,170
15,face_1,"[(51, 51) (176, 176)]",15,172,172
16,face_1,"[(51, 51) (176, 176)]",16,173,173
17,face_1,"[(51, 51) (176, 176)]",17,71,71
18,face_1,"[(51, 51) (176, 176)]",18,77,77
19,face_1,"[(51, 51) (176, 176)]",19,87,87
20,face_1,"[(51, 51) (176, 176)]",20,96,96
21,face_1,"[(51, 51) (176, 176)]",21,106,106
22,face_1,"[(51, 51) (176, 176)]",22,125,125
23,face_1,"[(51, 51) (176, 176)]",23,134,134
24,face_1,"[(51, 51) (176, 176)]",24,144,144
25,face_1,"[(51, 51) (176, 176)]",25,154,154
26,face_1,"[(51, 51) (176, 176)]",26,161,161
27,face_1,"[(51, 51) (176, 176)]",27,116,116
28,face_1,"[(51, 51) (176, 176)]",28,117,117
29,face_1,"[(51, 51) (176, 176)]",29,116,116
30,face_1,"[(51, 51) (176, 176)]",30,116,116
31,face_1,"[(51, 51) (176, 176)]",31,106,106
32,face_1,"[(51, 51) (176, 176)]",32,111,111
33,face_1,"[(51, 51) (176, 176)]",33,117,117
34,face_1,"[(51, 51) (176, 176)]",34,122,122
35,face_1,"[(51, 51) (176, 176)]",35,127,127
36,face_1,"[(51, 51) (176, 176)]",36,83,83
37,face_1,"[(51, 51) (176, 176)]",37,89,89
38,face_1,"[(51, 51) (176, 176)]",38,96,96
39,face_1,"[(51, 51) (176, 176)]",39,102,102
40,face_1,"[(51, 51) (176, 176)]",40,96,96
41,face_1,"[(51, 51) (176, 176)]",41,88,88
42,face_1,"[(51, 51) (176, 176)]",42,131,131
43,face_1,"[(51, 51) (176, 176)]",43,137,137
44,face_1,"[(51, 51) (176, 176)]",44,144,144
45,face_1,"[(51, 51) (176, 176)]",45,150,150
46,face_1,"[(51, 51) (176, 176)]",46,145,145
47,face_1,"[(51, 51) (176, 176)]",47,138,138
48,face_1,"[(51, 51) (176, 176)]",48,97,97
49,face_1,"[(51, 51) (176, 176)]",49,103,103
50,face_1,"[(51, 51) (176, 176)]",50,110,110
51,face_1,"[(51, 51) (176, 176)]",51,116,116
52,face_1,"[(51, 51) (176, 176)]",52,122,122
53,face_1,"[(51, 51) (176, 176)]",53,129,129
54,face_1,"[(51, 51) (176, 176)]",54,136,136
55,face_1,"[(51, 51) (176, 176)]",55,130,130
56,face_1,"[(51, 51) (176, 176)]",56,123,123
57,face_1,"[(51, 51) (176, 176)]",57,117,117
58,face_1,"[(51, 51) (176, 176)]",58,110,110
59,face_1,"[(51, 51) (176, 176)]",59,104,104
60,face_1,"[(51, 51) (176, 176)]",60,100,100
61,face_1,"[(51, 51) (176, 176)]",61,110,110
62,face_1,"[(51, 51) (176, 176)]",62,116,116
63,face_1,"[(51, 51) (176, 176)]",63,122,122
64,face_1,"[(51, 51) (176, 176)]",64,133,133
65,face_1,"[(51, 51) (176, 176)]",65,123,123
66,face_1,"[(51, 51) (176, 176)]",66,116,116
67,face_1,"[(51, 51) (176, 176)]",67,110,110
